"","hhid","cr_surveyed","af_surveyed","sample_purposely","loc_Camp","loc_Host","loc_ITS","gov_Amman","gov_Irbid","gov_Jerash","gov_Mafraq","gov_Zarqa","Azraq","Zaatari","gov_Gaza","cr_female_CLEAN","cr_baseline_age_CLEAN","age_corrected","cr_nationality","af_nationality","af_baseline_role"
"134",113534009,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"135",113534012,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"136",113534029,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,17,0,2,2,1
"137",113535037,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"138",113541024,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"139",113541028,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"140",113541041,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"141",113541043,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"142",113541044,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"143",113541050,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"144",113541065,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"145",113541068,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"146",113541074,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"147",113541079,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"148",113541082,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,1
"149",113541089,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"150",113541092,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"151",113541105,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"152",113541112,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"153",113541116,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"154",113541117,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,NA,NA
"155",113541121,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"156",113541127,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"157",113541140,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,2,2,1
"158",113541142,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,1
"159",113541150,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"160",113541179,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,2,2,1
"161",113541186,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,1,2,2,1
"162",113542010,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,1,2,2,1
"163",113542017,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"164",113542018,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"165",113542028,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"166",113542032,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"167",113542036,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"168",113542039,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"169",113542040,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"170",113542042,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"171",113542048,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"172",113542050,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"173",113542056,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"174",113542060,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"175",113542063,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"176",113542074,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"177",113542075,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,NA,NA
"178",113542078,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"179",113542079,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"180",113542081,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,3
"181",113542084,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"182",113542086,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"183",113542091,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"184",113542092,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"185",113542093,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"186",113542099,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"187",113542100,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"188",113542102,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"189",113542103,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"190",113542104,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"191",113542108,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"192",113542111,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"193",113542116,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
